Vehicle_ID,Frame_ID,Local_X,Local_Y,Speed_X,Speed_Y,V_Length,V_Width,V_Heading,Lane_ID,Scenario,Lane_Change_Frame,Source_La,Target_La,Changing_Time_Offs,SL_Leading_ID,SL_Leading_Local_X,SL_Leading_Local_Y,SL_Leading_Speed_X,SL_Leading_Speed_Y,SL_Following_ID,SL_Following_Local_X,SL_Following_Local_Y,SL_Following_Speed_X,SL_Following_Speed_Y,TL_Leading_ID,TL_Leading_Local_X,TL_Leading_Local_Y,TL_Leading_Speed_X,TL_Leading_Speed_Y,TL_Following_ID,TL_Following_Local_X,TL_Following_Local_Y,TL_Following_Speed_X,TL_Following_Speed_Y,PET,TTC,MTTC,FL_TTC,Vehicle_ID_Event,Event_Index,Start_Frame,End_Frame,From_Lane,To_Lane,Lane_Path,Window_Start_Frame,Window_End_Frame
27,78,3667.4,21.168,4.2857,-1.3571,5.2,2.1,-18.09,1,2,73,2,1,0.5,,,,,,,,,,,43.0,3806.2,15.629,4.0,-1.7143,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,79,3671.6,21.032,4.3571,-1.4286,5.2,2.1,-17.745,1,2,73,2,1,0.6,,,,,,,,,,,43.0,3810.2,15.456999999999999,4.2143,-1.8929,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,80,3676.0,20.889,4.2143,-1.3929,5.2,2.1,-18.956,1,2,73,2,1,0.7,,,,,,,,,,,43.0,3814.4,15.268,3.9286,-1.7143,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,81,3680.2,20.75,4.3929,-1.4643,5.2,2.1,-19.134,1,2,73,2,1,0.8,,,,,,33.0,3553.5,25.157,3.2143,-0.85714,43.0,3818.3,15.096,4.0,-1.75,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,82,3684.6,20.604,4.2143,-1.3571,5.2,2.1,-19.985,1,2,73,2,1,0.9,,,,,,33.0,3556.7,25.071,3.25,-0.85714,43.0,3822.3,14.921000000000001,3.75,-1.6429,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,83,3688.8,20.468,4.2857,-1.5,5.2,2.1,-18.259,1,2,73,2,1,1.0,,,,,,33.0,3559.9,24.986,3.3929,-0.89286,43.0,3826.1,14.757,3.7857,-1.7143,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,84,3693.1,20.318,4.3571,-1.4643,5.2,2.1,-18.609,1,2,73,2,1,1.1,,,,,,33.0,3563.3,24.896,3.4286,-0.96429,43.0,3829.9,14.586000000000002,3.5714,-1.7857,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,85,3697.5,20.171,4.3929,-1.5,5.2,2.1,-18.778,1,2,73,2,1,1.2,,,,,,33.0,3566.8,24.8,3.4643,-1.0357,43.0,3833.4,14.407,3.6071,-1.75,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,86,3701.9,20.021,4.3214,-1.5,5.2,2.1,-18.778,1,2,73,2,1,1.3,,,,,,33.0,3570.2,24.696,3.4286,-1.0357,43.0,3837.0,14.232,3.3571,-1.6786,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,87,3706.2,19.871000000000002,4.4286,-1.5357,5.2,2.1,-17.581,1,2,73,2,1,1.4,,,,,,33.0,3573.6,24.593,3.6071,-1.0357,43.0,3840.4,14.063999999999998,3.2143,-1.6071,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
