Vehicle_ID,Frame_ID,Local_X_RT,Local_Y_RT,Local_X_RB,Local_Y_RB,Local_X_LB,Local_Y_LB,Local_X_LT,Local_Y_LT,Local_X,Local_Y,V_Class,V_Direction,Speed_X,Speed_Y,V_Length,V_Width,V_Heading,Lane_ID,Event_Index,Vehicle_ID_Event,Start_Frame,End_Frame,Lane_Change_Frame,From_Lane,To_Lane,Lane_Path,Window_Start_Frame,Window_End_Frame,Time_Offset
1132,8671,839,379,839,358,789,359,789,379,814.36,368.5,1,1,21.571,-0.42857,5.0,1.9,-0.57288,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,1.5
1132,8672,860,378,860,358,810,358,810,378,835.93,368.07,1,1,21.75,-0.35714,5.0,1.9,0.0,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,1.6
1132,8673,882,377,882,358,832,358,832,377,857.68,367.71,1,1,21.857,-0.32143,5.0,1.9,0.0,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,1.7
1132,8674,905,377,905,358,854,358,854,377,879.54,367.39,1,1,22.071,-0.32143,5.0,1.9,0.0,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,1.8
1132,8675,928,377,928,357,875,357,875,377,901.61,367.07,1,1,22.286,-0.28571,5.0,1.9,0.0,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,1.9
1132,8676,949,377,949,357,899,356,898,376,923.89,366.79,1,1,22.429,-0.14286,5.0,1.9,1.1345,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,2.0
1132,8677,972,377,972,356,920,356,920,377,946.32,366.64,1,1,22.429,-0.14286,5.0,1.9,0.0,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,2.1
1132,8678,994,377,994,357,943,356,943,376,968.75,366.5,1,1,22.5,-0.071429,5.0,1.9,1.1233,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,2.2
1132,8679,1017,376,1017,356,965,356,965,376,991.25,366.43,1,1,22.536,5.6843e-14,5.0,1.9,0.0,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,2.3
1132,8680,1039,377,1039,357,989,356,989,376,1013.8,366.43,1,1,22.643,-0.035714,5.0,1.9,1.1458,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,2.4
1132,8681,1061,377,1062,357,1012,356,1011,376,1036.4,366.39,1,1,22.607,0.035714,5.0,1.9,1.1458,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,2.5
1132,8682,1084,377,1084,357,1034,356,1034,376,1059.0,366.43,1,1,22.786,0.071429,5.0,1.9,1.1458,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,2.6
